PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
Kareem Abdul-Jabbar,"1,560",57446,38387,15837,28307,55.9,1,18,5.6,6712,9304,72.1,2975,9394,17440,5660,1160,3189,2527,55.9,59.2
Karl Malone,"1,476",54852,36928,13528,26210,51.6,85,310,27.4,9787,13188,74.2,3562,11406,14968,5248,2085,1145,4524,51.8,57.7
Dirk Nowitzki,"1,522",51367,31560,11169,23734,47.1,1982,5210,38,7240,8239,87.9,1468,10021,11489,3651,1210,1281,2494,51.2,57.7
Kevin Garnett,"1,462",50412,26071,10505,21142,49.7,174,632,27.5,4887,6190,78.9,3209,11453,14662,5445,1859,2037,3179,50.1,54.6
Jason Kidd,"1,391",50116,17529,6219,15557,40,1988,5701,34.9,3103,3954,78.5,1768,6957,8725,12091,2684,450,4003,46.4,50.7
LeBron James,"1,310",50054,35367,12903,25604,50.4,1979,5738,34.5,7582,10337,73.3,1538,8213,9751,9696,2063,982,4592,54.3,58.6
Elvin Hayes,"1,303",50000,27313,10976,24272,45.2,5,34,14.7,5356,7999,67,2778,6973,16279,2398,864,1771,1358,45.2,49.1
Kobe Bryant,"1,346",48643,33643,11719,26200,44.7,1827,5546,32.9,8378,10011,83.7,1499,5548,7047,6306,1944,640,4010,48.2,55
Wilt Chamberlain,"1,045",47859,31419,12681,23497,54,-,-,-,6057,11862,51.1,-,-,23924,4643,-,-,-,54,54.7
John Stockton,"1,504",47766,19711,7039,13658,51.5,845,2202,38.4,4788,5796,82.6,966,3085,4051,15806,3265,315,4244,54.6,60.8
Reggie Miller,"1,389",47620,25279,8241,17499,47.1,2560,6486,39.5,6237,7026,88.8,883,3299,4182,4141,1505,299,2409,54.4,61.4
Tim Duncan,"1,392",47367,26496,10285,20334,50.6,30,168,17.9,5896,8468,69.6,3859,11232,15091,4225,1025,3020,3381,50.7,55.1
Gary Payton,"1,335",47117,21813,8708,18698,46.6,1132,3570,31.7,3265,4480,72.9,1392,3877,5269,8966,2445,285,3030,49.6,52.8
John Havlicek,"1,270",46471,26395,10513,23930,43.9,-,-,-,5369,6589,81.5,610,1389,8007,6114,476,117,204,43.9,49.2
Vince Carter,"1,541",46370,25728,9293,21339,43.5,2290,6168,37.1,4852,6082,79.8,1658,4948,6606,4714,1530,888,2590,48.9,53.6
Ray Allen,"1,300",46350,24505,8567,18955,45.2,2973,7429,40,4398,4920,89.4,1230,4042,5272,4361,1451,244,2709,53,58
Paul Pierce,"1,343",45879,26397,8668,19465,44.5,2143,5816,36.8,6918,8578,80.6,1092,6435,7527,4708,1752,745,3532,50,56.8
Robert Parish,"1,611",45704,23334,9614,17914,53.7,0,6,0,4106,5694,72.1,4598,10117,14715,2180,1219,2361,3183,53.7,57.1
Moses Malone,"1,329",45071,27409,9435,19225,49.1,8,80,10,8531,11090,76.9,6731,9481,16212,1796,1089,1733,3804,49.1,56.9
Joe Johnson,"1,276",44233,20405,7822,17719,44.1,1978,5331,37.1,2783,3468,80.2,1067,3992,5059,5001,1071,260,2451,49.7,53
Hakeem Olajuwon,"1,238",44218,26946,10749,20991,51.2,25,124,20.2,5423,7621,71.2,4034,9714,13748,3058,2162,3830,3667,51.3,55.3
Oscar Robertson,"1,040",43886,26710,9508,19620,48.5,-,-,-,7694,9185,83.8,71,208,7804,9887,77,4,-,48.5,56.4
Clifford Robinson,"1,380",42560,19591,7389,16875,43.8,1253,3515,35.6,3560,5165,68.9,1852,4454,6306,3094,1402,1390,2502,47.5,51.2
Buck Williams,"1,307",42470,16784,6404,11661,54.9,5,30,16.7,3971,5979,66.4,4526,8491,13017,1646,1080,1100,2784,54.9,58.7
Jason Terry,"1,410",42034,18881,6914,15585,44.4,2282,6010,38,2771,3278,84.5,502,2772,3274,5415,1603,275,2415,51.7,55.4
Shaquille O'Neal,"1,207",41917,28596,11330,19457,58.2,1,22,4.5,5935,11252,52.7,4209,8890,13099,3026,739,2732,3310,58.2,58.6
Carmelo Anthony,"1,191",41720,27370,9800,21920,44.7,1582,4476,35.3,6188,7605,81.4,1921,5599,7520,3354,1176,592,2993,48.3,54.2
Scottie Pippen,"1,178",41068,18940,7420,15700,47.3,978,3002,32.6,3122,4437,70.4,2068,5426,7494,6135,2307,947,3257,50.4,53.6
Michael Jordan,"1,072",41010,32292,12192,24537,49.7,581,1778,32.7,7327,8772,83.5,1668,5004,6672,5633,2514,893,2924,50.9,56.9
Pau Gasol,"1,226",41001,20894,7980,15729,50.7,179,486,36.8,4755,6311,75.3,3085,8220,11305,3925,606,1941,2638,51.3,56.5
Bill Russell,963,40726,14522,5687,12930,44,-,-,-,3148,5614,56.1,-,-,21620,4100,-,-,-,44,47.1
Patrick Ewing,"1,183",40594,24815,9702,19241,50.4,19,125,15.2,5392,7289,74,2752,8855,11607,2215,1136,2894,3537,50.5,55.3
Charles Oakley,"1,282",40278,12417,4835,10263,47.1,68,269,25.3,2679,3522,76.1,3924,8281,12205,3217,1351,384,2785,47.4,52.6
Andre Miller,"1,304",40268,16278,6035,13104,46.1,193,888,21.7,4015,4975,80.7,1373,3422,4795,8524,1546,227,3121,46.8,53.2
Shawn Marion,"1,163",40097,17700,7289,15056,48.4,791,2390,33.1,2331,2877,81,2732,7369,10101,2198,1759,1233,1750,51,54.2
Otis Thorpe,"1,257",39824,17599,6872,12593,54.6,3,64,4.7,3852,5610,68.7,3446,6924,10370,2730,840,501,2774,54.6,58.4
Hal Greer,"1,122",39788,21586,8504,18811,45.2,-,-,-,4578,5717,80.1,-,-,5665,4540,-,-,-,45.2,50.6
Charles Barkley,"1,073",39331,23757,8435,15605,54.1,538,2020,26.6,6349,8643,73.5,4260,8286,12546,4215,1648,888,3376,55.8,61.2
Mark Jackson,"1,296",39117,12489,4793,10731,44.7,734,2213,33.2,2169,2818,77,1281,3682,4963,10334,1608,117,3155,48.1,52.2
Jamal Crawford,"1,327",38994,19419,6752,16467,41,2221,6379,34.8,3694,4286,86.2,466,2482,2948,4541,1179,271,2476,47.7,52.9
Walt Bellamy,"1,043",38940,20941,7914,15340,51.6,-,-,-,5113,8088,63.2,264,481,14241,2544,52,48,-,51.6,55.4
Andre Iguodala,"1,192",38793,13827,4975,10734,46.3,1063,3195,33.3,2814,3971,70.9,1094,4836,5930,5014,1734,608,2203,51.3,55.4
Horace Grant,"1,165",38625,12996,5439,10695,50.9,4,63,6.3,2114,3053,69.2,3467,5976,9443,2575,1143,1136,1303,50.9,54
Dwight Howard,"1,182",38487,19113,6917,11797,58.6,14,88,15.9,5265,9309,56.6,4033,10238,14271,1641,1047,2192,3255,58.7,60.1
Kevin Willis,"1,424",38360,17253,7095,14572,48.7,40,190,21.1,3023,4238,71.3,4132,7769,11901,1328,958,751,2520,48.8,52.5
Tony Parker,"1,254",38279,19473,7777,15830,49.1,519,1603,32.4,3400,4525,75.1,441,2955,3396,7036,1053,98,2865,50.8,54.6
Dominique Wilkins,"1,074",38115,26668,9963,21589,46.1,711,2231,31.9,6031,7438,81.1,2950,4219,7169,2677,1378,642,2669,47.8,53.6
Steve Nash,"1,217",38073,17387,6321,12892,49,1685,3939,42.8,3060,3384,90.4,643,2999,3642,10335,899,102,3478,55.6,60.5
Lenny Wilkens,"1,077",38064,17772,6189,14327,43.2,-,-,-,5394,6973,77.4,118,279,5030,7211,174,26,-,43.2,51.1
Alex English,"1,193",38063,25613,10659,21036,50.7,18,83,21.7,4277,5141,83.2,2778,3760,6538,4351,1067,833,2821,50.7,55
Michael Finley,"1,103",37995,17306,6696,15095,44.4,1454,3880,37.5,2460,3032,81.1,1121,3683,4804,3245,996,323,1629,49.2,52.7
Derek Harper,"1,199",37776,16006,6191,13384,46.3,1070,3026,35.4,2554,3426,74.5,696,2188,2884,6577,1957,304,2334,50.3,53.7
Chris Paul,"1,090",37758,19978,7035,14898,47.2,1481,3988,37.1,4427,5073,87.3,692,4231,4923,10275,2332,152,2621,52.2,58.3
Antawn Jamison,"1,083",37638,20042,7679,17024,45.1,1163,3365,34.6,3521,4860,72.4,2557,5600,8157,1761,1048,421,1714,48.5,52.3
Allen Iverson,914,37582,24368,8467,19906,42.5,1059,3383,31.3,6375,8168,78,745,2649,3394,5624,1983,164,3262,45.2,51.8
Clyde Drexler,"1,086",37538,22195,8335,17673,47.2,827,2603,31.8,4698,5962,78.8,2615,4062,6677,6125,2207,719,2977,49.5,54.7
Jack Sikma,"1,107",36943,17287,6396,13792,46.4,203,618,32.8,4292,5053,84.9,2542,8274,10816,3488,1162,1048,2586,47.1,54
Dikembe Mutombo,"1,196",36795,11729,4169,8045,51.8,0,2,0,3391,4960,68.4,3808,8551,12359,1240,494,3289,2173,51.8,57.3
Juwan Howard,"1,208",36648,16159,6543,13950,46.9,6,50,12,3067,4014,76.4,2348,5080,7428,2663,818,312,2469,46.9,51.4
Sam Perkins,"1,286",36598,15324,5498,11984,45.9,849,2348,36.2,3479,4292,81.1,2324,5342,7666,1975,1105,933,1586,49.4,55.2
Jerry West,932,36571,25192,9016,19032,47.4,-,-,-,7160,8801,81.4,30,86,5376,6238,81,23,-,47.4,55
A.C. Green,"1,278",36554,12331,4544,9202,49.4,124,489,25.4,3119,4250,73.4,3354,6119,9473,1400,1033,546,1434,50.1,55.7
Rasheed Wallace,"1,109",36249,16006,6320,13529,46.7,1086,3228,33.6,2280,3162,72.1,1578,5826,7404,1994,1090,1460,1693,50.7,53.6
Dennis Johnson,"1,100",35954,15535,5832,13100,44.5,80,464,17.2,3791,4754,79.7,1459,2790,4249,5499,1477,675,2448,44.8,51.1
Nate Thurmond,964,35881,14437,5521,13105,42.1,-,-,-,3395,5089,66.7,744,1827,14464,2575,125,553,-,42.1,47
Wes Unseld,984,35832,10624,4369,8586,50.9,3,6,50,1883,2976,63.3,2085,4974,13769,3822,628,367,579,50.9,53.7
Dwyane Wade,"1,054",35777,23165,8454,17617,48,549,1874,29.3,5708,7463,76.5,1258,3675,4933,5701,1620,885,3326,49.5,55.4
Isiah Thomas,979,35516,18822,7194,15904,45.2,398,1373,29,4036,5316,75.9,951,2527,3478,9061,1861,249,3682,46.5,51.6
Terry Porter,"1,274",35355,15586,5428,11734,46.3,1297,3360,38.6,3433,4107,83.6,715,3157,3872,7160,1583,181,2666,51.8,57.6
Latrell Sprewell,913,35268,16712,6076,14294,42.5,1104,3272,33.7,3456,4298,80.4,770,2954,3724,3664,1294,399,2450,46.4,51.6
LaMarcus Aldridge,"1,029",35193,19951,8059,16414,49.1,213,664,32.1,3620,4461,81.1,2703,5775,8478,2034,744,1140,1599,49.7,54.3
Joe Dumars,"1,018",35141,16402,5994,13026,46,990,2592,38.2,3424,4061,84.3,671,1532,2203,4612,902,83,2084,49.8,55.4
Paul Silas,"1,254",34989,11782,4293,9949,43.2,0,0,0,3196,4748,67.3,2035,3213,12357,2572,358,138,333,43.2,48.9
Glen Rice,"1,000",34982,18336,6776,14867,45.6,1559,3896,40,3225,3813,84.6,946,3441,4387,2097,958,265,1733,50.8,55.4
Elton Brand,"1,058",34906,16827,6599,13185,50,2,21,9.5,3627,4929,73.6,3304,5736,9040,2184,940,1828,2060,50.1,54.8
Maurice Cheeks,"1,101",34845,12195,4906,9374,52.3,52,204,25.5,2331,2938,79.3,713,2375,3088,7392,2310,294,2268,52.6,57.2
Dale Ellis,"1,209",34780,19004,7323,15275,47.9,1719,4266,40.3,2639,3365,78.4,1533,2668,4201,1746,974,183,1771,53.6,56.7
Grant Hill,"1,026",34778,17137,6345,13126,48.3,219,697,31.4,4228,5498,76.9,1176,4993,6169,4252,1248,576,2459,49.2,55.1
Zach Randolph,"1,116",34620,18578,7436,15774,47.1,199,729,27.3,3507,4592,76.4,3279,6929,10208,2049,834,301,2290,47.8,52.2
Reggie Theus,"1,026",34603,19015,7057,14973,47.1,238,945,25.2,4663,5644,82.6,1182,2167,3349,6453,1206,236,3493,47.9,54.5
Larry Bird,897,34443,21791,8591,17334,49.6,649,1727,37.6,3960,4471,88.6,1757,7217,8974,5695,1556,755,2816,51.4,56.4
Mitch Richmond,976,34301,20497,7305,16038,45.5,1326,3417,38.8,4561,5365,85,881,2920,3801,3398,1211,254,2579,49.7,55.7
Richard Jefferson,"1,181",34299,14904,5150,11102,46.4,1042,2769,37.6,3562,4639,76.8,917,3803,4720,2412,787,347,1768,51.1,56.7
David Robinson,987,34273,20790,7365,14221,51.8,25,100,25,6035,8201,73.6,3083,7414,10497,2441,1388,2954,2417,51.9,58.3
Adrian Dantley,955,34151,23177,8169,15121,54,7,41,17.1,6832,8351,81.8,2207,3248,5455,2830,944,150,2503,54,61.7
Jeff Hornacek,"1,077",33961,15659,5929,11957,49.6,828,2055,40.3,2973,3390,87.7,919,2727,3646,5281,1536,226,1971,53,58.2
Mike Bibby,"1,001",33959,14698,5410,12412,43.6,1517,3999,37.9,2361,2943,80.2,529,2574,3103,5517,1172,149,2134,49.7,53.6
Bill Laimbeer,"1,068",33956,13790,5574,11198,49.8,202,619,32.6,2440,2916,83.7,2819,7581,10400,2184,710,965,1594,50.7,55.2
Tom Chambers,"1,107",33921,20049,7378,15749,46.8,227,740,30.7,5066,6274,80.7,1942,4761,6703,2283,885,627,2549,47.6,54.2
Terry Cummings,"1,183",33895,19460,8045,16628,48.4,44,149,29.5,3326,4711,70.6,3183,5447,8630,2190,1255,650,2200,48.5,52
Elgin Baylor,846,33863,23149,8693,20171,43.1,-,-,-,5763,7391,78,-,-,11463,3650,-,-,-,43.1,49.4
Vlade Divac,"1,134",33838,13398,5205,10510,49.5,100,426,23.5,2888,4176,69.2,2881,6445,9326,3541,1288,1631,2470,50,54.3
P.J. Brown,"1,089",33826,9870,3852,8365,46,8,59,13.6,2158,2718,79.4,3002,5407,8409,1661,912,1116,1342,46.1,51.6
Rod Strickland,"1,094",33635,14463,5418,11928,45.4,195,691,28.2,3432,4759,72.1,1172,2912,4084,7987,1616,215,2862,46.2,51.6
Detlef Schrempf,"1,136",33609,15761,5400,10995,49.1,475,1236,38.4,4486,5585,80.3,1871,5152,7023,3833,856,312,2268,51.3,58.6
Rashard Lewis,"1,049",33543,15579,5644,12479,45.2,1787,4625,38.6,2504,3111,80.5,1418,4015,5433,1765,1115,541,1577,52.4,56.3
Gail Goodrich,"1,031",33527,19181,7431,16300,45.6,-,-,-,4319,5354,80.7,453,651,3279,4805,545,72,390,45.6,51.4
Chet Walker,"1,032",33433,18831,6876,14628,47,-,-,-,5079,6384,79.6,245,593,7314,2126,117,10,-,47,54
Magic Johnson,906,33245,17707,6211,11951,52,325,1074,30.3,4960,5850,84.8,1601,4958,6559,10141,1724,374,3506,53.3,61
Chauncey Billups,"1,043",33008,15802,4738,11413,41.5,1830,4725,38.7,4496,5029,89.4,480,2512,2992,5636,1051,168,2138,49.5,58
Eddie Jones,954,32782,14155,4932,11286,43.7,1546,4147,37.3,2745,3394,80.9,761,3096,3857,2812,1620,580,1507,50.5,55.4
Dave Bing,901,32769,18327,6962,15769,44.1,-,-,-,4403,5683,77.5,418,741,3420,5397,483,89,216,44.1,50.2
Russell Westbrook,943,32747,21857,7774,17772,43.7,1063,3481,30.5,5246,6639,79,1580,5381,6961,8061,1624,293,3893,46.7,52.8
Derek Fisher,"1,287",32713,10713,3720,9329,39.9,1248,3341,37.4,2025,2479,81.7,414,2244,2658,3804,1352,98,1473,46.6,51.4
Rudy Gay,"1,009",32707,16903,6404,14105,45.4,1083,3096,35,3012,3770,79.9,1359,4519,5878,2167,1187,761,2161,49.2,53.6
Eddie Johnson,"1,199",32603,19202,7727,16361,47.2,562,1679,33.5,3186,3792,84,1786,3046,4832,2550,739,180,2076,48.9,53.3
Trevor Ariza,"1,094",32494,11497,4102,9705,42.3,1585,4505,35.2,1708,2332,73.2,1071,4203,5274,2352,1615,349,1462,50.4,53.6
Kevin Durant,884,32462,23883,8138,16462,49.4,1655,4311,38.4,5952,6744,88.3,630,5609,6239,3681,973,986,2773,54.5,61.5
Chris Mullin,986,32172,17911,6740,13243,50.9,815,2120,38.4,3616,4178,86.5,1026,3008,4034,3450,1530,549,2315,54,59.4
Jerry Lucas,829,32131,14053,5709,11441,49.9,-,-,-,2635,3365,78.3,62,312,12942,2730,28,24,-,49.9,54.4
Lamar Odom,961,32131,12781,4811,10393,46.3,664,2126,31.2,2495,3599,69.3,1821,6238,8059,3554,848,892,2253,49.5,53.4
Bob Lanier,959,32103,19248,7761,15092,51.4,2,13,15.4,3724,4858,76.7,1843,4853,9698,3007,777,1100,1112,51.4,55.9
Rolando Blackman,980,32087,17623,6887,13969,49.3,229,667,34.3,3620,4309,84,1047,2231,3278,2981,715,274,1829,50.1,55.5
Ben Wallace,"1,088",32084,6254,2569,5421,47.4,7,51,13.7,1109,2679,41.4,3444,7038,10482,1437,1369,2137,1061,47.5,47.4
Hersey Hawkins,983,32037,14470,4889,10612,46.1,1226,3108,39.4,3466,3985,87,825,2729,3554,2860,1622,302,1828,51.8,58.5
Chris Bosh,893,31936,17189,6209,12581,49.4,305,910,33.5,4466,5591,79.9,1927,5665,7592,1795,730,932,1807,50.6,57.1
Stephon Marbury,846,31890,16297,5769,13324,43.3,991,3048,32.5,3768,4804,78.4,579,1937,2516,6471,1022,121,2547,47,52.8
Sam Lacey,"1,002",31873,10303,4276,9693,44.1,3,16,18.8,1748,2369,73.8,1647,5226,9687,3754,999,1160,978,44.1,48
Dick Van Arsdale,921,31771,15079,5413,11661,46.4,-,-,-,4253,5385,79,188,476,3807,3060,264,44,-,46.4,53.7
Tyson Chandler,"1,160",31622,9509,3558,5964,59.7,0,11,0,2393,3714,64.4,3529,6938,10467,967,630,1335,1656,59.7,62.6
Tayshaun Prince,"1,017",31576,11272,4583,10082,45.5,569,1550,36.7,1537,2033,75.6,1125,3207,4332,2407,571,500,1064,48.3,51.3
Antoine Walker,893,31533,15647,6085,14710,41.4,1386,4264,32.5,2091,3303,63.3,1894,4997,6891,3170,1085,469,2504,46.1,48.4
Randy Smith,976,31444,16262,6676,14218,47,17,110,15.5,2893,3705,78.1,861,1977,3597,4487,1403,57,1158,47,51.3
Metta World Peace,991,31439,13058,4666,11266,41.4,1154,3402,33.9,2572,3596,71.5,1159,3289,4448,2631,1721,522,1791,46.5,50.8
Dave DeBusschere,875,31202,14053,5722,13249,43.2,-,-,-,2609,3730,69.9,134,623,9618,2497,67,39,-,43.2,47.2
Ron Harper,"1,009",31196,13910,5326,11946,44.6,523,1811,28.9,2735,3799,72,1322,2987,4309,3916,1716,729,2251,46.8,51.1
Kyle Korver,"1,232",31183,11953,4103,9278,44.2,2450,5715,42.9,1297,1479,87.7,345,3298,3643,2114,804,403,1290,57.4,60.2
Nate Archibald,876,31159,16481,5899,12628,46.7,19,85,22.4,4664,5760,81,344,1015,2046,6476,719,81,1123,46.8,54.3
Mookie Blaylock,889,31027,11962,4705,11499,40.9,1283,3816,33.6,1269,1724,73.6,1017,2642,3659,5972,2075,300,2067,46.5,48.8
Walt Frazier,825,30965,15581,6130,12516,49,0,1,0,3321,4226,78.6,403,1523,4830,5040,681,63,139,49,54.2
Luol Deng,902,30942,13361,5130,11257,45.6,658,1982,33.2,2443,3175,76.9,1462,4006,5468,2042,880,444,1459,48.5,52.8
Thaddeus Young,"1,033",30933,13526,5829,11624,50.1,498,1504,33.1,1370,2053,66.7,2099,4038,6137,1899,1481,430,1532,52.3,54
Bill Bridges,926,30878,11012,4181,9463,44.2,-,-,-,2650,3824,69.3,257,376,11054,2553,69,36,-,44.2,49.4
Chris Webber,831,30852,17182,7192,15024,47.9,264,883,29.9,2534,3906,64.9,2271,5853,8124,3526,1197,1200,2313,48.7,51.3
Larry Nance,920,30697,15687,6370,11664,54.6,8,55,14.5,2939,3892,75.5,2299,5053,7352,2393,872,2027,1711,54.6,58.6
Bob Pettit,792,30690,20880,7349,16872,43.6,-,-,-,6182,8119,76.1,-,-,12849,2369,-,-,-,43.6,51.1
Tracy McGrady,938,30658,18381,6709,15413,43.5,1081,3198,33.8,3882,5202,74.6,1300,3976,5276,4161,1136,807,2029,47,51.9
Tim Hardaway,867,30628,15373,5640,13076,43.1,1542,4345,35.5,2551,3263,78.2,544,2311,2855,7095,1428,129,2481,49,53
Bailey Howell,950,30627,17770,6515,13585,48,-,-,-,4740,6224,76.2,-,-,9383,1853,-,-,-,48,54.4
Calvin Murphy,"1,002",30607,17949,7247,15030,48.2,10,72,13.9,3445,3864,89.2,499,952,2103,4402,1165,51,822,48.3,53.6
Anthony Mason,882,30601,9656,3583,7033,50.9,2,12,16.7,2488,3511,70.9,1912,5367,7279,2963,648,244,1549,51,56.3
Kyle Lowry,960,30481,14272,4574,10794,42.4,1827,4967,36.8,3297,4061,81.2,771,3422,4193,5995,1283,281,2251,50.8,56.7
David Wesley,949,30273,11842,4248,10023,42.4,1123,3051,36.8,2223,2827,78.6,526,1879,2405,4159,1280,161,1808,48,52.6
Jerry Stackhouse,970,30226,16409,5386,13182,40.9,988,3202,30.9,4649,5659,82.2,926,2141,3067,3240,869,437,2641,44.6,52.4
Dan Majerle,955,30207,10925,3950,9171,43.1,1360,3798,35.8,1665,2246,74.1,1125,3140,4265,2755,1194,360,1116,50.5,53.8
James Harden,877,30198,22045,6513,14659,44.4,2445,6728,36.3,6574,7659,85.8,687,4107,4794,5730,1367,476,3255,52.8,61.1
Bob Cousy,924,30165,16960,6168,16468,37.5,-,-,-,4624,5756,80.3,-,-,4786,6955,-,-,-,37.5,44.6
Marvin Williams,"1,072",30159,10965,3928,8872,44.3,1046,2894,36.1,2063,2554,80.8,1276,4270,5546,1373,824,577,1021,50.2,54.8
Byron Scott,"1,073",30152,15097,5918,12268,48.2,775,2093,37,2486,2985,83.3,677,2310,2987,2729,1224,276,1597,51.4,55.6
Paul Millsap,"1,052",30123,14421,5410,11043,49,533,1553,34.3,3068,4166,73.6,2302,5257,7559,2349,1317,1032,1810,51.4,56
Kevin McHale,971,30118,17335,6830,12334,55.4,41,157,26.1,3634,4554,79.8,2358,4764,7122,1670,344,1690,1893,55.5,60.5
DeMar DeRozan,881,30047,17751,6359,13814,46,360,1282,28.1,4673,5609,83.3,652,3183,3835,3355,867,256,1805,47.3,54.5
Shane Battier,977,30004,8408,2982,6819,43.7,1250,3254,38.4,1194,1606,74.3,1273,2809,4082,1717,988,906,878,52.9,55.9
James Worthy,926,30001,16320,6878,13204,52.1,117,486,24.1,2447,3184,76.9,1561,3147,4708,2791,1041,624,1859,52.5,55.9
Jojo White,837,29941,14399,6169,13884,44.4,1,6,16.7,2060,2471,83.4,472,1468,3345,4095,686,112,504,44.4,48.1
Sam Cassell,993,29813,15635,5698,12558,45.4,672,2029,33.1,3567,4144,86.1,618,2603,3221,5939,1058,163,2418,48,54.4
Dolph Schayes,996,29800,18438,5863,15427,38,-,-,-,6712,7904,84.9,-,-,11256,3072,-,-,-,38,48.8
Lou Hudson,890,29794,17940,7392,15129,48.9,-,-,-,3156,3960,79.7,436,718,3926,2432,516,98,249,48.9,53.2
Michael Cage,"1,140",29710,8278,3317,6445,51.5,0,25,0,1644,2476,66.4,3227,5419,8646,1057,1050,725,1161,51.5,54.9
Artis Gilmore,909,29685,15579,5732,9570,59.9,1,13,7.7,4114,5768,71.3,2639,6522,9161,1777,470,1747,2347,59.9,64.3
Jeff Malone,905,29660,17231,7099,14674,48.4,86,321,26.8,2947,3383,87.1,572,1792,2364,2154,577,100,1538,48.7,53.3
Earl Monroe,926,29636,17454,6906,14898,46.4,0,0,0,3642,4513,80.7,260,976,2796,3594,473,121,305,46.4,51.7
Dale Davis,"1,094",29606,8706,3592,6779,53,0,8,0,1522,2708,56.2,3303,5302,8605,978,691,1270,1090,53,54.6
Dave Cowens,766,29565,13516,5744,12499,46,1,14,7.1,2027,2590,78.3,1574,5122,10444,2910,599,488,543,46,49.6
Richard Hamilton,921,29562,15708,5969,13288,44.9,530,1530,34.6,3240,3805,85.2,794,2058,2852,3125,714,131,1977,46.9,52.5
Bob Dandridge,839,29502,15530,6445,13317,48.4,2,12,16.7,2638,3382,78,908,2337,5715,2846,661,303,630,48.4,52.4
Kendall Gill,966,29487,12914,5068,11672,43.4,315,1051,30,2463,3267,75.4,1274,2728,4002,2945,1519,432,1734,44.8,49.3
Bernard King,874,29417,19655,7830,15109,51.8,23,134,17.2,3972,5444,73,1704,3356,5060,2863,866,230,2791,51.9,56.1
Shawn Kemp,"1,051",29299,15347,5505,11278,48.8,33,119,27.7,4304,5805,74.1,3026,5808,8834,1704,1185,1279,2766,49,55.5
Jason Richardson,857,29243,14644,5558,12681,43.8,1608,4344,37,1920,2714,70.7,1033,3212,4245,2284,995,367,1503,50.2,52.8
David West,"1,034",29141,14034,5703,11519,49.5,57,215,26.5,2571,3148,81.7,1784,4806,6590,2273,764,850,1660,49.8,54.4
Damon Stoudamire,878,29107,11763,4329,10662,40.6,1236,3464,35.7,1869,2244,83.3,703,2336,3039,5371,953,81,2039,46.4,50.5
Jim Jackson,885,29067,12690,4811,11247,42.8,881,2413,36.5,2187,2651,82.5,1190,2962,4152,2851,726,188,2179,46.7,51.1
Monta Ellis,833,29011,14858,5723,12688,45.1,737,2349,31.4,2675,3463,77.2,520,2354,2874,3856,1409,281,2246,48,52.3
Josh Smith,894,28999,12996,5089,11247,45.2,450,1578,28.5,2368,3748,63.2,1717,4936,6653,2789,1083,1713,2197,47.2,50.4
Nick Van Exel,880,28980,12658,4636,11458,40.5,1528,4278,35.7,1858,2341,79.4,375,2170,2545,5777,726,92,1850,47.1,50.7
